study_name,participant_id,duration_in_seconds,finished,consent,eng_first_lang,gender,gender_desc,age,parent,education_level,sneaker_example_1,sneaker_example_2,block_order,participant_num,difficulty,interface_feedback,gen_feedback
pro_pilot,pro_pilot_0,763,True,I consent to participate in this study.,Yes,Female,NA,40,Yes,Doctorate,8,6,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,0,Slightly difficult,None,None
pro_pilot,pro_pilot_1,948,True,I consent to participate in this study.,Yes,Female,NA,29,Yes,Some college,4,2,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,1,Neither easy nor difficult,No,No
pro_pilot,pro_pilot_2,871,True,I consent to participate in this study.,Yes,Female,NA,39,No,Some college,8,3,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,2,Extremely easy,n/a,n/a
pro_pilot,pro_pilot_3,1437,True,I consent to participate in this study.,Yes,Female,NA,29,Yes,Some college,5,2,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,3,Slightly easy,No it was great.,No.
pro_pilot,pro_pilot_4,1959,True,I consent to participate in this study.,Yes,Female,NA,37,No,2-year college degree,X,3,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,4,Slightly easy,None,None
pro_pilot,pro_pilot_5,900,True,I consent to participate in this study.,Yes,Female,NA,22,No,Some college,X,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,5,Slightly difficult,no,I marked slightly difficult as I don't remember when I learned the words so I had to use approximations based on how advanced the definition was and my memory of learning words.
pro_pilot,pro_pilot_6,1202,True,I consent to participate in this study.,Yes,Female,NA,42,Yes,4-year college degree,9,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,6,Moderately easy,No,NA
pro_pilot,pro_pilot_7,1119,True,I consent to participate in this study.,Yes,Female,NA,31,No,4-year college degree,8,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,7,Moderately easy,No trouble,Interesting survey.  I enjoyed it.
pro_pilot,pro_pilot_8,1121,True,I consent to participate in this study.,Yes,Male,NA,46,Yes,4-year college degree,20,2,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,8,Slightly difficult,-,-
pro_pilot,pro_pilot_9,1307,True,I consent to participate in this study.,Yes,Female,NA,19,No,Some college,15,10,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,9,Slightly difficult,NA,NA
