study_name,participant_id,qualtrics_code,aoa,full_question,group,lemma
pro_pilot,pro_pilot_0,x72_lemma_aoa,2,cat_1 - When did you learn the word [[Field-2]]?,cat_1,cat
pro_pilot,pro_pilot_0,x106_lemma_aoa,2,see_1 - When did you learn the word [[Field-2]]?,see_1,see
pro_pilot,pro_pilot_0,x216_lemma_aoa,2,spoon_1 - When did you learn the word [[Field-2]]?,spoon_1,spoon
pro_pilot,pro_pilot_0,x247_lemma_aoa,3,animal_1 - When did you learn the word [[Field-2]]?,animal_1,animal
pro_pilot,pro_pilot_0,x299_lemma_aoa,3,catch_4 - When did you learn the word [[Field-2]]?,catch_4,catch
pro_pilot,pro_pilot_0,x344_lemma_aoa,2,water_1 - When did you learn the word [[Field-2]]?,water_1,water
pro_pilot,pro_pilot_0,x379_lemma_aoa,2,dog_2 - When did you learn the word [[Field-2]]?,dog_2,dog
pro_pilot,pro_pilot_0,x381_lemma_aoa,3,dirty_2 - When did you learn the word [[Field-2]]?,dirty_2,dirty
pro_pilot,pro_pilot_0,x444_lemma_aoa,2,cry_2 - When did you learn the word [[Field-2]]?,cry_2,cry
pro_pilot,pro_pilot_0,x450_lemma_aoa,3,sun_1 - When did you learn the word [[Field-2]]?,sun_1,sun
pro_pilot,pro_pilot_0,x459_lemma_aoa,3,shower_2 - When did you learn the word [[Field-2]]?,shower_2,shower
pro_pilot,pro_pilot_0,x461_lemma_aoa,2,fork_1 - When did you learn the word [[Field-2]]?,fork_1,fork
pro_pilot,pro_pilot_0,x472_lemma_aoa,3,tired_1 - When did you learn the word [[Field-2]]?,tired_1,tired
pro_pilot,pro_pilot_0,x479_lemma_aoa,4,lamp_1 - When did you learn the word [[Field-2]]?,lamp_1,lamp
pro_pilot,pro_pilot_0,x485_lemma_aoa,2,blanket_1 - When did you learn the word [[Field-2]]?,blanket_1,blanket
pro_pilot,pro_pilot_0,x492_lemma_aoa,3,mouse_1 - When did you learn the word [[Field-2]]?,mouse_1,mouse
pro_pilot,pro_pilot_0,x493_lemma_aoa,3,wet_1 - When did you learn the word [[Field-2]]?,wet_1,wet
pro_pilot,pro_pilot_0,x494_lemma_aoa,3,dirty_1 - When did you learn the word [[Field-2]]?,dirty_1,dirty
pro_pilot,pro_pilot_0,x514_lemma_aoa,2,hug_1 - When did you learn the word [[Field-2]]?,hug_1,hug
pro_pilot,pro_pilot_0,x539_lemma_aoa,3,money_1 - When did you learn the word [[Field-2]]?,money_1,money
pro_pilot,pro_pilot_0,x554_lemma_aoa,3,squirrel_1 - When did you learn the word [[Field-2]]?,squirrel_1,squirrel
pro_pilot,pro_pilot_0,x572_lemma_aoa,3,awake_1 - When did you learn the word [[Field-2]]?,awake_1,awake
pro_pilot,pro_pilot_0,x574_lemma_aoa,2,potty_1 - When did you learn the word [[Field-2]]?,potty_1,potty
pro_pilot,pro_pilot_0,x578_lemma_aoa,2,helicopter_1 - When did you learn the word [[Field-2]]?,helicopter_1,helicopter
pro_pilot,pro_pilot_0,x580_lemma_aoa,3,break_3 - When did you learn the word [[Field-2]]?,break_3,break
pro_pilot,pro_pilot_0,x582_lemma_aoa,3,break_8 - When did you learn the word [[Field-2]]?,break_8,break
pro_pilot,pro_pilot_0,x586_lemma_aoa,2,read_1 - When did you learn the word [[Field-2]]?,read_1,read
pro_pilot,pro_pilot_0,x590_lemma_aoa,2,head_7 - When did you learn the word [[Field-2]]?,head_7,head
