belt_1,belt,the act of hitting vigorously <br /> <i>(Example: He gave the table a belt)</i>,ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun <br /> <i>(Example: The belt fed through the machine as shots rung out)</i>,endless loop of flexible material between two rotating shafts or pulleys <br /> <i>(Example: The drive belt broke)</i>,an elongated region where a specific condition or characteristic is found <br /> <i>(Example: A belt of high pressure)</i>,a path or strip (as cut by one course of mowing) <br /> <i>(Example: Push them down the belt)</i>,5
touch_2,touch,"make physical contact with, come in contact with <br /> <i>(Example: She never touched her husband)</i>",color lightly <br /> <i>(Example: The leaves were touched with red in November)</i>,tamper with <br /> <i>(Example: Don't touch my CDs!)</i>,to extend as far as <br /> <i>(Example: The chair must not touch the wall)</i>,be relevant to <br /> <i>(Example: To touch on your previous idea)</i>,5
think_1,think,have or formulate in the mind <br /> <i>(Example: Think good thoughts)</i>,imagine or visualize <br /> <i>(Example: Just think--you could be rich one day!)</i>,"expect, believe, or suppose <br /> <i>(Example: He didn't think to find her in the kitchen)</i>","ponder; reflect on, or reason about <br /> <i>(Example: Think the matter through)</i>",recall knowledge from memory; have a recollection <br /> <i>(Example: I can't think what her last name was)</i>,5
vacuum_1,vacuum,an electrical home appliance that cleans by suction <br /> <i>(Example: Going to have_to go round with the vacuum cleaner I think and pick up all these bits)</i>,an empty area or space <br /> <i>(Example: Without their support he'll be ruling in a vacuum)</i>,the absence of matter <br /> <i>(Example: Black holes are vacuums)</i>,a region that is devoid of matter <br /> <i>(Example: The huge desert vaccum)</i>,,4
better_1,better,(comparative of `good') changed for the better in health or fitness <br /> <i>(Example: I feel better)</i>,more than half <br /> <i>(Example: Argued for the better part of an hour)</i>,(comparative of `good') superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability; more highly skilled than another <br /> <i>(Example: She's better in math than in history)</i>,(comparative and superlative of `well') wiser or more advantageous and hence advisable <br /> <i>(Example: It would be better to speak to him)</i>,,4
long_1,long,of relatively great height <br /> <i>(Example: A race of long gaunt men)</i>,having or being more than normal or necessary: <br /> <i>(Example: Long on brains)</i>,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified <br /> <i>(Example: A long life)</i>,"(of speech sounds or syllables) of relatively long duration <br /> <i>(Example: The English vowel sounds in `bate', `beat', `bite', `boat', `boot' are long)</i>",planning prudently for the future <br /> <i>(Example: Took a long view of the geopolitical issues)</i>,5
go_5,go,be awarded; be allotted <br /> <i>(Example: The first prize goes to Mary)</i>,to be spent or finished <br /> <i>(Example: The money had gone after a few days)</i>,"pass, fare, or elapse; of a certain state of affairs or action <br /> <i>(Example: How is it going?)</i>",follow a certain course <br /> <i>(Example: How did your interview go?)</i>,go through in search of something; search through someone's belongings in an unauthorized way <br /> <i>(Example: Don't go through my stuff)</i>,5
fast_1,fast,unwavering in devotion to friend or vow or cause <br /> <i>(Example: Fast friends)</i>,(used of timepieces) indicating a time ahead of or later than the correct time <br /> <i>(Example: My watch is fast)</i>,resistant to destruction or fading <br /> <i>(Example: Fast colors)</i>,(of surfaces) conducive to rapid speeds <br /> <i>(Example: A fast road)</i>,unrestrained by convention or morality <br /> <i>(Example: Fast women)</i>,5
big_3,big,exhibiting self-importance <br /> <i>(Example: Big talk)</i>,significant <br /> <i>(Example: Graduation was a big day in his life)</i>,given or giving freely <br /> <i>(Example: Was a big tipper)</i>,,,3
pool_2,pool,a small lake <br /> <i>(Example: The pool was too small for sailing)</i>,something resembling a pool of liquid <br /> <i>(Example: He stood in a pool of light)</i>,an association of companies for some definite purpose <br /> <i>(Example: The pool of companies worked together to finish the product)</i>,the combined stakes of the betters <br /> <i>(Example: I'll put $50 in the pool)</i>,,4
coffee_1,coffee,a medium brown to dark-brown color <br /> <i>(Example: The wall was a dark coffee)</i>,a seed of the coffee tree; ground to make coffee <br /> <i>(Example: A buy my own coffee beans)</i>,any of several small trees and shrubs native to the tropical Old World yielding coffee beans <br /> <i>(Example: There is a field of coffee trees over there)</i>,a beverage consisting of an infusion of ground coffee beans <br /> <i>(Example: He ordered a cup of coffee)</i>,,4
