sense_question,wordnet_sense
a n_say_1,vitamin_a.n.01
a n_say_2,a.n.06
a n_say_3,a.n.07
after adj_say_1,after.s.01
after adj_understand_1,after.s.01
after r_say_1,subsequently.r.01
after r_say_2,after.r.02
airplane n_say_1,airplane.n.01
all adj_say_1,all.a.01
all adj_say_2,all.s.02
all adj_understand_1,all.a.01
all adj_understand_2,all.s.02
all r_say_1,wholly.r.01
alligator n_say_1,alligator.n.01
alligator n_say_2,alligator.n.02
animal adj_say_1,animal.s.01
animal adj_understand_1,animal.s.01
animal n_say_1,animal.n.01
ankle n_say_1,ankle.n.01
another adj_say_1,another.s.01
another adj_understand_1,another.s.01
ant n_say_1,ant.n.01
any adj_say_1,any.s.01
any adj_understand_1,any.s.01
any r_say_1,any.r.01
apple n_say_1,apple.n.01
apple n_say_2,apple.n.02
applesauce n_say_1,applesauce.n.01
applesauce n_say_2,folderol.n.01
are v_say_1,cost.v.01
are v_understand_1,cost.v.01
arm n_say_1,arm.n.01
arm n_say_2,arm.n.02
arm n_say_3,weapon.n.01
arm n_say_4,arm.n.04
arm n_say_5,branch.n.01
arm n_say_6,sleeve.n.01
arm v_say_1,arm.v.01
arm v_say_2,arm.v.02
arm v_understand_1,arm.v.01
arm v_understand_2,arm.v.02
around r_say_1,about.r.03
around r_say_10,round.r.01
around r_say_2,around.r.02
around r_say_3,about.r.04
around r_say_4,around.r.04
around r_say_5,approximately.r.01
around r_say_6,about.r.05
around r_say_7,around.r.07
around r_say_8,about.r.02
around r_say_9,around.r.09
asleep adj_say_1,asleep.a.01
asleep adj_say_2,asleep.s.02
asleep adj_say_3,asleep.s.03
asleep adj_understand_1,asleep.a.01
asleep adj_understand_2,asleep.s.02
asleep adj_understand_3,asleep.s.03
asleep r_say_1,asleep.r.01
asleep r_say_2,asleep.r.02
aunt n_say_1,aunt.n.01
awake adj_say_1,awake.a.01
awake adj_say_2,alert.s.03
awake adj_understand_1,awake.a.01
awake adj_understand_2,alert.s.03
awake v_say_1,wake_up.v.02
awake v_understand_1,wake_up.v.02
away adj_say_1,away.s.01
away adj_say_2,away.a.02
away adj_say_3,away.s.03
away adj_understand_1,away.s.01
away adj_understand_2,away.a.02
away adj_understand_3,away.s.03
away r_say_1,away.r.01
away r_say_10,away.r.10
away r_say_11,aside.r.06
away r_say_2,away.r.02
away r_say_3,aside.r.02
away r_say_4,away.r.04
away r_say_5,off.r.02
away r_say_6,away.r.06
away r_say_7,away.r.07
away r_say_8,away.r.08
away r_say_9,away.r.09
back adj_say_1,back.a.01
back adj_say_2,back.s.02
back adj_say_3,back.s.03
back adj_understand_1,back.a.01
back adj_understand_2,back.s.02
back adj_understand_3,back.s.03
back n_say_1,back.n.01
back n_say_2,rear.n.05
back n_say_3,back.n.03
back n_say_4,back.n.04
back n_say_5,spinal_column.n.01
back n_say_6,binding.n.05
back n_say_7,back.n.07
back n_say_8,back.n.08
back n_say_9,back.n.09
back r_say_1,back.r.01
back r_say_2,back.r.02
back r_say_3,back.r.03
back r_say_4,back.r.04
back r_say_5,back.r.05
back r_say_6,back.r.06
back v_say_1,back.v.01
back v_say_10,back.v.10
back v_say_2,back.v.02
back v_say_3,second.v.01
back v_say_4,back.v.04
back v_say_5,back.v.05
back v_say_6,back.v.06
back v_say_7,bet_on.v.01
back v_say_8,back.v.08
back v_say_9,back.v.09
back v_understand_1,back.v.01
back v_understand_10,back.v.10
back v_understand_2,back.v.02
back v_understand_3,second.v.01
back v_understand_4,back.v.04
back v_understand_5,back.v.05
back v_understand_6,back.v.06
back v_understand_7,bet_on.v.01
back v_understand_8,back.v.08
back v_understand_9,back.v.09
bad adj_say_1,bad.a.01
bad adj_say_10,bad.s.10
bad adj_say_11,bad.s.11
bad adj_say_12,bad.s.12
bad adj_say_13,bad.s.14
bad adj_say_2,bad.s.02
bad adj_say_3,bad.s.03
bad adj_say_4,bad.s.04
bad adj_say_5,regretful.a.01
bad adj_say_6,bad.s.06
bad adj_say_7,bad.s.07
bad adj_say_8,bad.s.08
bad adj_say_9,bad.s.09
bad adj_understand_1,bad.a.01
bad adj_understand_10,bad.s.10
bad adj_understand_11,bad.s.11
bad adj_understand_12,bad.s.12
bad adj_understand_13,bad.s.14
bad adj_understand_2,bad.s.02
bad adj_understand_3,bad.s.03
bad adj_understand_4,bad.s.04
bad adj_understand_5,regretful.a.01
bad adj_understand_6,bad.s.06
bad adj_understand_7,bad.s.07
bad adj_understand_8,bad.s.08
bad adj_understand_9,bad.s.09
bad n_say_1,bad.n.01
bad r_say_1,badly.r.05
bad r_say_2,badly.r.06
balloon n_say_1,balloon.n.01
balloon n_say_2,balloon.n.02
balloon v_say_1,balloon.v.01
balloon v_say_2,balloon.v.02
balloon v_understand_1,balloon.v.01
balloon v_understand_2,balloon.v.02
basket n_say_1,basket.n.01
basket n_say_2,basket.n.02
basket n_say_3,basket.n.03
basket n_say_4,basket.n.04
bat n_say_1,bat.n.01
bat n_say_2,bat.n.02
bat n_say_3,squash_racket.n.01
bat n_say_4,cricket_bat.n.01
bat n_say_5,bat.n.05
bat v_say_1,bat.v.01
bat v_say_2,bat.v.02
bat v_say_3,bat.v.03
bat v_say_4,bat.v.04
bat v_say_5,cream.v.02
bat v_understand_1,bat.v.01
bat v_understand_2,bat.v.02
bat v_understand_3,bat.v.03
bat v_understand_4,bat.v.04
bat v_understand_5,cream.v.02
bath n_say_1,bath.n.01
bath n_say_2,bath.n.02
bath n_say_3,bathtub.n.01
bath n_say_4,bath.n.05
bath n_say_5,bathroom.n.01
bath v_say_1,bathe.v.03
bath v_understand_1,bathe.v.03
bathroom n_say_1,bathroom.n.01
bathroom n_say_2,toilet.n.01
bathtub n_say_1,bathtub.n.01
be v_say_1,be.v.10
be v_say_2,be.v.12
be v_understand_1,be.v.10
be v_understand_2,be.v.12
beach n_say_1,beach.n.01
beach v_say_1,beach.v.01
beach v_understand_1,beach.v.01
beads n_say_1,beads.n.01
beads n_say_2,bead.n.01
beads n_say_3,drop.n.01
beads v_say_1,bead.v.01
beads v_say_2,bead.v.02
beads v_say_3,bead.v.03
beads v_understand_1,bead.v.01
beads v_understand_2,bead.v.02
beads v_understand_3,bead.v.03
beans n_say_1,bean.n.01
beans n_say_2,bean.n.02
beans n_say_3,bean.n.03
beans v_say_1,bean.v.01
beans v_understand_1,bean.v.01
bear n_say_1,bear.n.01
bear v_say_1,bear.v.01
bear v_say_10,bear.v.11
bear v_say_11,hold.v.14
bear v_say_12,have_a_bun_in_the_oven.v.01
bear v_say_2,give_birth.v.01
bear v_say_3,digest.v.03
bear v_say_4,bear.v.04
bear v_say_5,bear.v.05
bear v_say_6,bear.v.06
bear v_say_7,hold.v.11
bear v_say_8,wear.v.02
bear v_say_9,behave.v.02
bear v_understand_1,bear.v.01
bear v_understand_10,bear.v.11
bear v_understand_11,hold.v.14
bear v_understand_12,have_a_bun_in_the_oven.v.01
bear v_understand_2,give_birth.v.01
bear v_understand_3,digest.v.03
bear v_understand_4,bear.v.04
bear v_understand_5,bear.v.05
bear v_understand_6,bear.v.06
bear v_understand_7,hold.v.11
bear v_understand_8,wear.v.02
bear v_understand_9,behave.v.02
bed n_say_1,bed.n.01
bed n_say_2,bed.n.02
bed n_say_3,bed.n.03
bed n_say_4,layer.n.01
bed n_say_5,bed.n.08
bed v_say_1,bed.v.01
bed v_say_2,bed.v.02
bed v_say_3,bed.v.03
bed v_say_4,go_to_bed.v.01
bed v_understand_1,bed.v.01
bed v_understand_2,bed.v.02
bed v_understand_3,bed.v.03
bed v_understand_4,go_to_bed.v.01
bedroom calibration_say_1,bedroom.n.01
bedroom calibration_understand_1,bedroom.n.01
